,Time,open,close,low,high,Vol.trades,Nr.trades,Average,
MSFT,1108,27.33,27.34,27.33,27.34,105881,202,27.3372,0
MSFT,1109,27.33,27.34,27.33,27.33,203380,268,27.3334,1
MSFT,1110,27.34,27.35,27.33,27.34,119796,167,27.3406,1
MSFT,1111,27.35,27.35,27.33,27.34,34232,91,27.3397,0
MSFT,1112,27.33,27.34,27.33,27.33,43223,85,27.3378,0
MSFT,1113,27.34,27.34,27.3,27.34,88266,92,27.3248,1
MSFT,1114,27.33,27.34,27.33,27.33,129062,199,27.3306,1
MSFT,1115,27.33,27.34,27.33,27.34,35102,61,27.3359,0
MSFT,1116,27.33,27.34,27.33,27.33,13842,31,27.3315,0
MSFT,1117,27.33,27.34,27.32,27.34,178544,242,27.3303,0
MSFT,1118,27.33,27.34,27.31,27.32,281405,324,27.3242,1
MSFT,1119,27.33,27.34,27.31,27.32,484788,347,27.3291,2
MSFT,1120,27.32,27.33,27.3,27.3,536895,690,27.3131,1
MSFT,1121,27.31,27.32,27.29,27.3,452009,575,27.3069,2
MSFT,1122,27.3,27.33,27.3,27.33,137096,180,27.3135,1
MSFT,1123,27.32,27.33,27.31,27.33,212117,310,27.3192,0
MSFT,1124,27.32,27.34,27.32,27.34,210619,297,27.3257,0
MSFT,1125,27.33,27.34,27.33,27.34,46324,91,27.3339,0
MSFT,1126,27.33,27.34,27.33,27.34,70800,117,27.3384,0
MSFT,1127,27.33,27.34,27.33,27.34,99698,167,27.3359,1
MSFT,1128,27.34,27.34,27.33,27.34,71638,102,27.3381,0
MSFT,1129,27.33,27.34,27.33,27.33,135382,68,27.3305,1
MSFT,1130,27.33,27.34,27.33,27.33,20696,55,27.3317,0
MSFT,1131,27.34,27.34,27.33,27.33,26935,54,27.3307,0
MSFT,1132,27.34,27.34,27.33,27.34,89245,98,27.3329,1
MSFT,1133,27.33,27.34,27.33,27.33,26395,57,27.335,0
MSFT,1134,27.33,27.34,27.33,27.34,28273,44,27.3345,0
MSFT,1135,27.33,27.34,27.33,27.33,230621,233,27.3302,4
MSFT,1136,27.33,27.35,27.33,27.34,254225,293,27.3366,1
MSFT,1137,27.34,27.35,27.34,27.34,129969,152,27.3411,1
MSFT,1138,27.34,27.34,27.34,27.34,43964,53,27.3401,0
MSFT,1139,27.34,27.34,27.33,27.33,160169,106,27.3309,1
MSFT,1140,27.33,27.34,27.33,27.34,61325,90,27.3301,0
MSFT,1141,27.34,27.34,27.33,27.34,34413,53,27.337,0
MSFT,1142,27.34,27.34,27.33,27.33,99917,64,27.3383,2
MSFT,1143,27.33,27.34,27.33,27.33,6808,22,27.3312,0
MSFT,1144,27.33,27.39,27.33,27.37,769479,885,27.3603,6
MSFT,1145,27.37,27.39,27.37,27.39,356980,415,27.381,1
MSFT,1146,27.39,27.39,27.37,27.38,219436,281,27.3803,0
MSFT,1147,27.37,27.38,27.35,27.36,136901,184,27.3643,0
MSFT,1148,27.35,27.36,27.34,27.35,205739,155,27.3499,4
MSFT,1149,27.34,27.37,27.34,27.37,239431,323,27.3541,0
MSFT,1150,27.36,27.37,27.35,27.36,208033,57,27.3532,1
MSFT,1151,27.37,27.37,27.36,27.37,194048,234,27.3678,2
MSFT,1152,27.37,27.37,27.36,27.37,29580,51,27.3676,0
MSFT,1153,27.37,27.37,27.35,27.36,83680,130,27.3614,0
MSFT,1154,27.36,27.37,27.35,27.36,97279,133,27.3608,1
MSFT,1155,27.35,27.36,27.34,27.35,68194,121,27.3491,1
MSFT,1156,27.35,27.36,27.33,27.34,351568,403,27.3452,2
MSFT,1157,27.33,27.34,27.33,27.33,22423,33,27.3342,0
MSFT,1158,27.34,27.36,27.33,27.35,352808,458,27.34,0
MSFT,1159,27.35,27.35,27.34,27.35,34831,75,27.3427,0
MSFT,1200,27.35,27.36,27.34,27.36,34762,85,27.3521,0
MSFT,1201,27.35,27.36,27.34,27.35,77279,108,27.3452,1
MSFT,1202,27.35,27.35,27.33,27.33,78971,98,27.3409,1
MSFT,1203,27.33,27.33,27.29,27.3,352705,355,27.3125,1
MSFT,1204,27.3,27.32,27.29,27.32,119492,173,27.3063,1
MSFT,1205,27.32,27.34,27.31,27.33,223455,298,27.324,2
MSFT,1206,27.33,27.35,27.33,27.35,170912,185,27.3418,1
MSFT,1207,27.35,27.35,27.34,27.35,53805,91,27.3495,0
MSFT,1208,27.34,27.36,27.34,27.36,191510,272,27.3487,1
MSFT,1209,27.36,27.36,27.35,27.35,33157,41,27.3567,0
MSFT,1210,27.36,27.36,27.35,27.35,18727,40,27.3544,0
MSFT,1211,27.36,27.36,27.35,27.35,136437,203,27.3587,0
MSFT,1212,27.35,27.36,27.35,27.35,15057,32,27.3527,0
MSFT,1213,27.35,27.36,27.35,27.35,35403,61,27.3521,1
MSFT,1214,27.35,27.36,27.35,27.36,21427,59,27.3551,0
MSFT,1215,27.36,27.36,27.35,27.35,88122,128,27.3596,0
MSFT,1216,27.36,27.36,27.35,27.36,14033,34,27.3556,0
MSFT,1217,27.36,27.36,27.35,27.35,31040,59,27.3546,0
MSFT,1218,27.35,27.36,27.34,27.34,80260,89,27.3499,1
MSFT,1219,27.35,27.36,27.32,27.32,236551,201,27.3415,2
MSFT,1220,27.32,27.33,27.32,27.33,17674,26,27.3228,0
MSFT,1221,27.33,27.33,27.31,27.32,114198,143,27.3194,1
MSFT,1222,27.31,27.32,27.3,27.31,117156,124,27.3101,1
MSFT,1223,27.32,27.32,27.3,27.32,69011,70,27.3116,1
MSFT,1224,27.32,27.34,27.32,27.33,105845,159,27.3277,0
MSFT,1225,27.33,27.34,27.33,27.34,5541,20,27.335,0
MSFT,1226,27.34,27.35,27.33,27.35,47080,112,27.3397,0
MSFT,1227,27.35,27.36,27.34,27.34,152040,210,27.3496,0
MSFT,1228,27.35,27.36,27.34,27.35,229333,305,27.3574,1
MSFT,1229,27.35,27.36,27.34,27.35,87987,127,27.3508,0
MSFT,1230,27.35,27.35,27.35,27.35,25192,61,27.35,0
MSFT,1231,27.35,27.35,27.35,27.35,68289,48,27.35,2
MSFT,1232,27.35,27.35,27.34,27.34,26999,45,27.3473,0
MSFT,1233,27.35,27.35,27.34,27.35,76264,117,27.3491,0
MSFT,1234,27.35,27.36,27.34,27.35,38902,62,27.3494,0
MSFT,1235,27.35,27.35,27.35,27.35,49218,50,27.35,1
MSFT,1236,27.35,27.35,27.31,27.31,202101,312,27.3375,1
MSFT,1237,27.31,27.32,27.31,27.31,75985,107,27.3157,0
MSFT,1238,27.32,27.32,27.31,27.31,13772,36,27.3161,0
MSFT,1239,27.31,27.32,27.31,27.31,36231,30,27.3184,1
MSFT,1240,27.31,27.33,27.31,27.31,96539,136,27.3181,0
MSFT,1241,27.31,27.32,27.3,27.31,127388,126,27.3095,1
MSFT,1242,27.32,27.33,27.31,27.33,94879,95,27.3148,1
MSFT,1243,27.32,27.33,27.32,27.33,7296,18,27.3243,0
MSFT,1244,27.32,27.33,27.32,27.32,213182,37,27.3297,2
MSFT,1245,27.33,27.33,27.32,27.32,29385,44,27.3252,0
MSFT,1246,27.32,27.33,27.32,27.32,15463,29,27.3253,0
MSFT,1247,27.32,27.33,27.31,27.31,66722,78,27.3194,1
MSFT,1248,27.31,27.32,27.3,27.31,51631,78,27.3086,0
MSFT,1249,27.31,27.32,27.3,27.32,87239,94,27.3101,1
MSFT,1250,27.31,27.32,27.3,27.3,105087,108,27.3065,1
MSFT,1251,27.3,27.31,27.3,27.31,22831,40,27.3079,0
MSFT,1252,27.3,27.31,27.3,27.31,14759,32,27.304,0
MSFT,1253,27.31,27.31,27.3,27.31,32220,58,27.3053,0
MSFT,1254,27.3,27.31,27.3,27.3,16264,33,27.3025,0
MSFT,1255,27.3,27.31,27.3,27.3,9991,19,27.3015,0
MSFT,1256,27.3,27.31,27.3,27.31,15158,44,27.3048,0
MSFT,1257,27.3,27.31,27.3,27.31,8510,18,27.3048,0
MSFT,1258,27.3,27.33,27.3,27.3,188502,212,27.3127,1
MSFT,1259,27.3,27.31,27.29,27.29,57781,112,27.2995,0
MSFT,1300,27.3,27.3,27.29,27.3,174612,29,27.2994,2
MSFT,1301,27.3,27.3,27.28,27.29,60571,125,27.2892,0
MSFT,1302,27.29,27.29,27.28,27.28,8596,27,27.2831,0
MSFT,1303,27.28,27.31,27.28,27.3,247053,331,27.2974,2
MSFT,1304,27.3,27.3,27.28,27.29,127143,174,27.2919,1
MSFT,1305,27.29,27.29,27.28,27.28,22924,45,27.2854,0
MSFT,1306,27.29,27.3,27.28,27.28,354502,527,27.2952,1
MSFT,1307,27.29,27.32,27.29,27.32,140763,180,27.3018,1
MSFT,1308,27.31,27.32,27.31,27.32,100235,145,27.3196,0
MSFT,1309,27.31,27.32,27.28,27.28,109477,173,27.3015,0
MSFT,1310,27.28,27.29,27.28,27.29,49920,77,27.289,0
MSFT,1311,27.3,27.3,27.29,27.3,44818,47,27.2992,1
MSFT,1312,27.3,27.3,27.28,27.29,53851,82,27.2903,0
MSFT,1313,27.29,27.29,27.28,27.29,31951,60,27.289,0
MSFT,1314,27.29,27.3,27.28,27.29,55851,69,27.2886,0
